House,Date,start.date,end.date,Proportion.Rousseff,Proportion.Neves,Proportion.Campos,Proportion.Silva,Proportion.Other,Proportion.None,Proportion.DK,unemployment,cpi
Datafolha,10/4/2014,10/3/2014,10/4/2014,36,20,,19,4,5,16,4.7,0.43
CNT/MDA,10/3/2014,10/2/2014,10/3/2014,37.2,21.3,,19,2.3,5.9,14.3,4.7,0.43
IBOPE,10/3/2014,10/2/2014,10/4/2014,38,20,,18,2,8,13,4.7,0.43
Datafolha,10/2/2014,10/1/2014,10/2/2014,35,17,,20,3,5,20,4.7,0.43
Datafolha,9/30/2014,9/29/2014,9/30/2014,35,16,,20,3,5,22,4.9,0.49
IBOPE,9/30/2014,9/29/2014,10/1/2014,35,16,,20,3,10,17,4.9,0.49
CNT/MDA,9/28/2014,9/27/2014,9/28/2014,36.7,17.5,,22.5,2.1,6.4,14.8,4.9,0.49
IBOPE,9/28/2014,9/27/2014,9/29/2014,36,16,,21,3,9,17,4.9,0.49
VoxPopuli,9/28/2014,9/27/2014,9/28/2014,40,18,,24,2,6,11,4.9,0.49
Datafolha,9/26/2014,9/25/2014,9/26/2014,33,14,,21,2,5,25,4.9,0.49
CNT/MDA,9/21/2014,9/20/2014,9/21/2014,31.4,14.4,,23,1.8,7,22.4,4.9,0.49
IBOPE,9/21/2014,9/20/2014,9/22/2014,33,15,,23,2,10,17,4.9,0.49
VoxPopuli,9/21/2014,9/20/2014,9/21/2014,40,17,,22,2,6,12,4.9,0.49
Datafolha,9/18/2014,9/17/2014,9/18/2014,30,12,,24,1,6,26,4.9,0.49
IBOPE,9/14/2014,9/13/2014,9/15/2014,31,15,,24,1,10,18,4.9,0.49
VoxPopuli,9/14/2014,9/13/2014,9/14/2014,36,15,,27,2,8,12,4.9,0.49
Datafolha,9/9/2014,9/8/2014,9/9/2014,28,10,,24,1,6,29,4.9,0.49
IBOPE,9/7/2014,9/5/2014,9/8/2014,35,12,,23,1,11,19,4.9,0.49
CNT/MDA,9/6/2014,9/5/2014,9/7/2014,30.9,10.1,,25.8,1.3,6.2,25.7,4.9,0.49
Datafolha,9/2/2014,9/1/2014,9/3/2014,27,10,,24,1,6,30,4.9,0.49
IBOPE,9/1/2014,8/31/2014,9/2/2014,31,11,,25,1,9,23,4.9,0.49
Datafolha,8/29/2014,8/28/2014,8/29/2014,27,10,,22,3,6,32,5,0.12
IBOPE,8/24/2014,8/23/2014,8/25/2014,27,12,,18,2,12,28,5,0.12
CNT/MDA,8/23/2014,8/21/2014,8/24/2014,26.4,11.3,,18.6,1.3,9.5,32.9,5,0.12
Datafolha,8/15/2014,8/14/2014,8/15/2014,24,11,2,5,1,6,49,5,0.12
CNT/MDA,8/10/2014,8/8/2014,8/12/2014,25.6,12.6,3.5,,1.6,18.7,38,5,0.12
IBOPE,8/5/2014,8/3/2014,8/6/2014,25,11,4,0,2,15,43,5,0.12
IBOPE,7/20/2014,7/18/2014,7/21/2014,26,12,4,0,2,17,39,4.9,0.1
Datafolha,7/16/2014,7/15/2014,7/16/2014,22,9,2,0,3,8,54,4.9,0.1
Datafolha,7/2/2014,7/1/2014,7/2/2014,25,9,3,1,4,9,48,4.9,0.1
IBOPE,6/14/2014,6/13/2014,6/15/2014,25,11,4,1,6,16,18,4.8,0.33
IBOPE,6/6/2014,6/4/2014,6/7/2014,20,10,3,1,11,17,39,4.8,0.33
Datafolha,6/4/2014,6/3/2014,6/5/2014,19,7,2,1,7,8,55,4.8,0.33
IBOPE,5/17/2014,5/15/2014,5/19/2014,22,8,4,2,8,18,37,4.9,0.52
Datafolha,5/8/2014,5/7/2014,5/8/2014,20,6,2,1,3,12,49,4.9,0.52
CNT/MDA,4/23/2014,4/20/2014,4/25/2014,20.5,9.3,3.6,4.5,7.9,14.1,40.1,4.9,0.77
IBOPE,4/12/2014,4/10/2014,4/14/2014,23,7,2,4,9,19,37,4.9,0.77
Datafolha,4/3/2014,4/2/2014,4/3/2014,20,3,2,3,6,11,52,4.9,0.77
IBOPE,3/15/2014,3/13/2014,3/17/2014,23,6,3,2,10,18,37,5,0.85
Datafolha,2/20/2014,2/19/2014,2/20/2014,22,3,1,2,8,11,49,5.1,0.66
CNT/MDA,2/12/2014,2/9/2014,2/14/2014,21.3,5.6,1.6,3.5,8,15,45,5.1,0.66
Datafolha,11/29/2013,11/28/2013,11/29/2013,22,4,1,3,10,8,50,4.6,0.68
CNT/MDA,11/2/2013,10/31/2013,11/4/2013,18.9,6.7,2.2,5.6,9.1,20.6,36.9,4.6,0.68
Datafolha,10/11/2013,10/11/2013,10/11/2013,17,4,2,4,10,7,53,5.2,0.55
Datafolha,8/8/2013,8/7/2013,8/9/2013,16,3,0,3,16,8,52,5.3,0.2
Datafolha,6/28/2013,6/27/2013,6/28/2013,16,4,1,2,10,9,55,6,0.35
Datafolha,6/7/2013,6/6/2013,6/7/2013,27,4,1,1,12,5,50,6,0.35
Datafolha,3/21/2013,3/20/2013,3/21/2013,35,2,1,0,16,5,41,5.7,0.72
Datafolha,12/13/2012,12/13/2012,12/13/2012,26,3,0,1,19,4,46,4.6,0.66
